AssayId,BlockId,Size,RowSid,RowName,RowTarget,ColSid,ColName,ColTarget,RowIC50,ColIC50,RowConcs,ColConcs,RowConcUnit,ColConcUnit
10946,1,10,NCGC00532330-04,"A-485","Unknown",NCGC00381562-03,"Tazemetostat","EZH2 Inhibitor",5.018527,5.921306,"30.0,15.0,7.5,3.75,1.875,0.9375,0.46875,0.234375,0.11718760000000002,0.0","20.0,10.0,5.0,2.5,1.25,0.625,0.3125,0.15625,0.078125,0.0",uM,uM
10946,2,10,NCGC00163700-05,"Vincristine sulfate","Tubulin polymerization Inhibitor",NCGC00381562-03,"Tazemetostat","EZH2 Inhibitor",0.011718,27.943493,"5.0,2.5,1.25,0.625,0.3125,0.15625,0.078125,0.0390624,0.0195312,0.0","20.0,10.0,5.0,2.5,1.25,0.625,0.3125,0.15625,0.078125,0.0",uM,uM
10946,3,10,NCGC00014925-18,"Topotecan hydrochloride","DNA Topoisomerase I Inhibitor",NCGC00381562-03,"Tazemetostat","EZH2 Inhibitor",0.045441,26.95323,"10.0,5.0,2.5,1.25,0.625,0.3125,0.15625,0.078125,0.0390624,0.0","20.0,10.0,5.0,2.5,1.25,0.625,0.3125,0.15625,0.078125,0.0",uM,uM
10946,4,10,NCGC00024415-60,"Doxorubicin","DNA Topoisomerase II Inhibitor",NCGC00381562-03,"Tazemetostat","EZH2 Inhibitor",0.038154,10.321993,"20.0,10.0,5.0,2.5,1.25,0.625,0.3125,0.15625,0.078125,0.0","20.0,10.0,5.0,2.5,1.25,0.625,0.3125,0.15625,0.078125,0.0",uM,uM
10946,5,10,NCGC00250412-18,"JQ1","Brd4 Inhibitor",NCGC00381562-03,"Tazemetostat","EZH2 Inhibitor",0.654943,8.760993,"5.0,2.5,1.25,0.625,0.3125,0.15625,0.078125,0.0390624,0.0195312,0.0","20.0,10.0,5.0,2.5,1.25,0.625,0.3125,0.15625,0.078125,0.0",uM,uM
10946,6,10,A-485-01,"A-485","CBP/p300 Inhibitor",NCGC00381562-03,"Tazemetostat","EZH2 Inhibitor",0.0,22.238853,"20.0,10.0,5.0,2.5,1.25,0.625,0.3125,0.15625,0.078125,0.0","20.0,10.0,5.0,2.5,1.25,0.625,0.3125,0.15625,0.078125,0.0",uM,uM
10946,8,10,NCGC00163700-05,"Vincristine sulfate","Tubulin polymerization Inhibitor",NCGC00381562-03,"Tazemetostat","EZH2 Inhibitor",0.009727,26.571049,"1.0,0.5,0.25,0.125,0.0625,0.03125,0.015625,0.007812400000000001,0.0039062000000000003,0.0","20.0,10.0,5.0,2.5,1.25,0.625,0.3125,0.15625,0.078125,0.0",uM,uM
10946,9,10,NCGC00014925-18,"Topotecan hydrochloride","DNA Topoisomerase I Inhibitor",NCGC00381562-03,"Tazemetostat","EZH2 Inhibitor",0.027446,2.639508,"2.0,1.0,0.5,0.25,0.125,0.0625,0.03125,0.015625,0.007812400000000001,0.0","20.0,10.0,5.0,2.5,1.25,0.625,0.3125,0.15625,0.078125,0.0",uM,uM
10946,10,10,NCGC00024415-60,"Doxorubicin","DNA Topoisomerase II Inhibitor",NCGC00381562-03,"Tazemetostat","EZH2 Inhibitor",0.041538,4.937501,"5.0,2.5,1.25,0.625,0.3125,0.15625,0.078125,0.0390624,0.0195312,0.0","20.0,10.0,5.0,2.5,1.25,0.625,0.3125,0.15625,0.078125,0.0",uM,uM
10946,11,10,NCGC00250412-18,"JQ1","Brd4 Inhibitor",NCGC00381562-03,"Tazemetostat","EZH2 Inhibitor",0.47001,75.404,"2.0,1.0,0.5,0.25,0.125,0.0625,0.03125,0.015625,0.007812400000000001,0.0","20.0,10.0,5.0,2.5,1.25,0.625,0.3125,0.15625,0.078125,0.0",uM,uM
10946,13,10,NCGC00163700-05,"Vincristine sulfate","Tubulin polymerization Inhibitor",NCGC00381562-03,"Tazemetostat","EZH2 Inhibitor",0.006299,5.997359,"0.1,0.05,0.025,0.0125,0.00625,0.003125,0.0015624000000000002,7.812000000000001E-4,3.9060000000000006E-4,0.0","20.0,10.0,5.0,2.5,1.25,0.625,0.3125,0.15625,0.078125,0.0",uM,uM
10946,14,10,NCGC00014925-18,"Topotecan hydrochloride","DNA Topoisomerase I Inhibitor",NCGC00381562-03,"Tazemetostat","EZH2 Inhibitor",0.017731,0.0,"0.2,0.1,0.05,0.025,0.0125,0.00625,0.003125,0.0015624000000000002,7.812000000000001E-4,0.0","20.0,10.0,5.0,2.5,1.25,0.625,0.3125,0.15625,0.078125,0.0",uM,uM
